2019/12/22 08:22:50 [emerg] 1#1: unknown directive "health_check" in /etc/nginx/conf.d/minio.conf:27
2019/12/22 12:07:41 [error] 6#6: *147 connect() failed (113: No route to host) while connecting to upstream, client: 192.168.32.1, server: minio, request: "GET /minio/loader.css HTTP/1.1", upstream: "http://192.168.32.6:9000/minio/loader.css", host: "minio", referrer: "http://minio/minio/test1/"
2019/12/22 12:07:41 [warn] 6#6: *147 upstream server temporarily disabled while connecting to upstream, client: 192.168.32.1, server: minio, request: "GET /minio/loader.css HTTP/1.1", upstream: "http://192.168.32.6:9000/minio/loader.css", host: "minio", referrer: "http://minio/minio/test1/"
2019/12/22 12:07:44 [error] 6#6: *147 connect() failed (113: No route to host) while connecting to upstream, client: 192.168.32.1, server: minio, request: "GET /minio/loader.css HTTP/1.1", upstream: "http://192.168.32.5:9000/minio/loader.css", host: "minio", referrer: "http://minio/minio/test1/"
2019/12/22 12:07:44 [warn] 6#6: *147 upstream server temporarily disabled while connecting to upstream, client: 192.168.32.1, server: minio, request: "GET /minio/loader.css HTTP/1.1", upstream: "http://192.168.32.5:9000/minio/loader.css", host: "minio", referrer: "http://minio/minio/test1/"
2019/12/22 12:07:55 [error] 6#6: *150 connect() failed (113: No route to host) while connecting to upstream, client: 192.168.32.1, server: minio, request: "GET /minio/logo.svg HTTP/1.1", upstream: "http://192.168.32.6:9000/minio/logo.svg", host: "minio", referrer: "http://minio/minio/test1/"
2019/12/22 12:07:55 [warn] 6#6: *150 upstream server temporarily disabled while connecting to upstream, client: 192.168.32.1, server: minio, request: "GET /minio/logo.svg HTTP/1.1", upstream: "http://192.168.32.6:9000/minio/logo.svg", host: "minio", referrer: "http://minio/minio/test1/"
2019/12/22 12:07:58 [error] 6#6: *150 connect() failed (113: No route to host) while connecting to upstream, client: 192.168.32.1, server: minio, request: "GET /minio/logo.svg HTTP/1.1", upstream: "http://192.168.32.5:9000/minio/logo.svg", host: "minio", referrer: "http://minio/minio/test1/"
2019/12/22 12:07:58 [warn] 6#6: *150 upstream server temporarily disabled while connecting to upstream, client: 192.168.32.1, server: minio, request: "GET /minio/logo.svg HTTP/1.1", upstream: "http://192.168.32.5:9000/minio/logo.svg", host: "minio", referrer: "http://minio/minio/test1/"
2019/12/22 12:08:09 [error] 6#6: *147 connect() failed (113: No route to host) while connecting to upstream, client: 192.168.32.1, server: minio, request: "GET /minio/favicon-32x32.png HTTP/1.1", upstream: "http://192.168.32.6:9000/minio/favicon-32x32.png", host: "minio", referrer: "http://minio/minio/test1/"
2019/12/22 12:08:09 [warn] 6#6: *147 upstream server temporarily disabled while connecting to upstream, client: 192.168.32.1, server: minio, request: "GET /minio/favicon-32x32.png HTTP/1.1", upstream: "http://192.168.32.6:9000/minio/favicon-32x32.png", host: "minio", referrer: "http://minio/minio/test1/"
2019/12/22 12:08:12 [error] 6#6: *212 connect() failed (113: No route to host) while connecting to upstream, client: 192.168.32.1, server: minio, request: "GET /minio/favicon-16x16.png HTTP/1.1", upstream: "http://192.168.32.5:9000/minio/favicon-16x16.png", host: "minio", referrer: "http://minio/minio/test1/"
2019/12/22 12:08:12 [warn] 6#6: *212 upstream server temporarily disabled while connecting to upstream, client: 192.168.32.1, server: minio, request: "GET /minio/favicon-16x16.png HTTP/1.1", upstream: "http://192.168.32.5:9000/minio/favicon-16x16.png", host: "minio", referrer: "http://minio/minio/test1/"
2019/12/22 12:21:19 [warn] 7#7: *1 a client request body is buffered to a temporary file /var/cache/nginx/client_temp/0000000001, client: 192.168.48.1, server: minio, request: "PUT /minio/upload/test1/ProjectMate%20Setup%207.0.3656.zip HTTP/1.1", host: "minio", referrer: "http://minio/minio/test1/"
2019/12/22 12:21:19 [warn] 7#7: *16 a client request body is buffered to a temporary file /var/cache/nginx/client_temp/0000000002, client: 192.168.48.1, server: minio, request: "PUT /minio/upload/test1/TeamViewer%2014.5.5819%20RePack%20(Install+Portable)%20Setup%20Offline.zip HTTP/1.1", host: "minio", referrer: "http://minio/minio/test1/"
2019/12/22 12:21:19 [warn] 7#7: *17 a client request body is buffered to a temporary file /var/cache/nginx/client_temp/0000000003, client: 192.168.48.1, server: minio, request: "PUT /minio/upload/test1/WifiKeyGen.zip HTTP/1.1", host: "minio", referrer: "http://minio/minio/test1/"
